year,film,person,is_winner,raw_text,source_url
,1996,Bang Eun-jin,False,"16 | 1996 | Bang Eun-jin | 301, 302 | ",https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
,1997,Kim Seon-jae,False,17 | 1997 | Kim Seon-jae | Time Lasts | ,https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
,1998,Shim Eun-ha,False,18 | 1998 | Shim Eun-ha | Christmas in August | ,https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
,1999,Lee Mi-sook,False,19 | 1999 | Lee Mi-sook | An Affair | ,https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
,2000,Jeon Do-yeon,False,20 | 2000 | Jeon Do-yeon | Happy End | ,https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
,2001,Bae Doona,False,21 | 2001 | Bae Doona | Take Care of My Cat | ,https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
,2002,Moon So-ri,False,22 | 2002 | Moon So-ri | Oasis | ,https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
,2003,Lee Mi-sook,False,23 | 2003 | Lee Mi-sook | Untold Scandal | ,https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
,2004,Yum Jung-ah,False,24 | 2004 | Yum Jung-ah | The Big Swindle | ,https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
,2005,Jeon Do-yeon,False,25 | 2005 | Jeon Do-yeon | You Are My Sunshine | ,https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
,2006,Jang Jin-young,False,26 | 2006 | Jang Jin-young | Blue Swallow | ,https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
,2007,Jeon Do-yeon,False,27 | 2007 | Jeon Do-yeon | Secret Sunshine | ,https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
,2008,Soo Ae,False,28 | 2008 | Soo Ae | Sunny | ,https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
,2009,Kim Hye-ja,False,29 | 2009 | Kim Hye-ja | Mother | ,https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
,2010,Seo Young-hee,False,30 | 2010 | Seo Young-hee | Bedevilled | ,https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
,2011,Tang Wei,False,31 | 2011 | Tang Wei | Late Autumn | ,https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
,2012,Jo Min-su,False,32 | 2012 | Jo Min-su | Pietà | ,https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
,2013,Uhm Ji-won,False,33 | 2013 | Uhm Ji-won | Hope | ,https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
,2014,Chun Woo-hee,False,34 | 2014 | Chun Woo-hee | Han Gong-ju | ,https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
,2015,Kim Hye-soo,False,35 | 2015 | Kim Hye-soo | Coin Locker Girl | ,https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
,2016,Son Ye-jin,False,36 | 2016 | Son Ye-jin | The Truth Beneath | ,https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
,2017,Na Moon-hee,False,37 | 2017 | Na Moon-hee | I Can Speak | [ 3 ],https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
,2018,Han Ji-min,False,38 | 2018 | Han Ji-min | Miss Baek | [ 4 ],https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
