year,ceremony,category,nominee,film,won
2000,Crystal Simorgh Awards,Best Director,Bahman Farmanara,"Smell of Camphor, Scent of Jasmine ‡",1
2000,Crystal Simorgh Awards,Best Helmer,Masoud Kimiai,Protest,0
2000,Crystal Simorgh Awards,Best Helmer,Dariush Mehrjui,The Mix,0
2000,Crystal Simorgh Awards,Best Filmmaker,Masoud Jafari Jozani,Maturity,0
2000,Crystal Simorgh Awards,Best Director,Reza Mirkarimi,The Child and the Soldier,0
2001,Crystal Simorgh Awards,Best Filmmaker,Majid Majidi,Baran ‡,1
2001,Crystal Simorgh Awards,Best Helmer,Homayoun Ass'adian,End of the Game,0
2001,Crystal Simorgh Awards,Best Director,Bahram Beyzai,Killing Mad Dogs,0
2001,Crystal Simorgh Awards,Best Helmer,Alireza Davoodnejad,Paradise for you,0
2001,Crystal Simorgh Awards,Best Helmer,Reza Mirkarimi,Under the Moonlight,0
2002,Crystal Simorgh Awards,Best Filmmaker,Rasul Sadr Ameli,"I'm Taraneh, 15",1
2002,Crystal Simorgh Awards,Best Director,Nasser Taghvai,Unruled Paper,0
2002,Crystal Simorgh Awards,Best Helmer,Ebrahim Hatamikia,Low Heights,0
2002,Crystal Simorgh Awards,Best Director,Dariush Mehrjui,To Stay Alive,0
2002,Crystal Simorgh Awards,Best Director,Alireza Raisian,The Deserted Station,0
2002,Crystal Simorgh Awards,Best Filmmaker,Nasser Refaei,The Exam,0
2003,Crystal Simorgh Awards,Best Director,Reza Mirkarimi,"Here, A Shining Light",1
2003,Crystal Simorgh Awards,Best Director,Kamal Tabrizi,Look at the Sky Sometimes,0
2003,Crystal Simorgh Awards,Best Filmmaker,Parviz Shahbazi,Deep Breath,0
2003,Crystal Simorgh Awards,Best Director,Asghar Farhadi,Dancing in the Dust,0
2003,Crystal Simorgh Awards,Best Director,Ahmad-Reza Mo'tamedi,The Insane Flew Away  ‡,0
2004,Crystal Simorgh Awards,Best Helmer,Ahmad-Reza Darvish,Duel,1
2004,Crystal Simorgh Awards,Best Helmer,Dariush Mehrjui,Mum's Guest ‡,0
2004,Crystal Simorgh Awards,Best Director,Asghar Farhadi,The Beautiful City,0
2004,Crystal Simorgh Awards,Best Filmmaker,Sirus Alvand,The Winning Card,0
2004,Crystal Simorgh Awards,Best Filmmaker,Mohammad-Mehdi Asgarpour,Ghadamgah,0
2005,Crystal Simorgh Awards,Best Filmmaker,Majid Majidi,The Willow Tree,1
2005,Crystal Simorgh Awards,Best Filmmaker,Mohammad Bozorgnia,A Place to Live,0
2005,Crystal Simorgh Awards,Best Filmmaker,Reza Mirkarimi,"So Close, So Far ‡",0
2005,Crystal Simorgh Awards,Best Filmmaker,Kambuzia Partovi,Café Transit,0
2005,Crystal Simorgh Awards,Best Helmer,Parviz Sheikhtadi,Behind the Curtain of Fog,0
2005,Crystal Simorgh Awards,Best Filmmaker,Bijan Mirbagheri,We Are All Fine,0
2006,Crystal Simorgh Awards,Best Director,Asghar Farhadi,Fireworks Wednesday,1
2006,Crystal Simorgh Awards,Best Filmmaker,Ebrahim Hatamikia,In the Name of the Father ‡,0
2006,Crystal Simorgh Awards,Best Director,Abolhassan Davoudi,The Incident,0
2006,Crystal Simorgh Awards,Best Filmmaker,Khosrow Ma'sumi,Somewhere Far Away,0
2006,Crystal Simorgh Awards,Best Director,Mona Zandi Haghighi,Friday Evening,0
2007,Crystal Simorgh Awards,Best Helmer,Mohammad-Hossein Latifi,The Third Day ‡,1
2007,Crystal Simorgh Awards,Best Filmmaker,Amir-Shahab Razavian,Colors of Memory,1
2007,Crystal Simorgh Awards,Best Filmmaker,Kiumars Pourahmad,The Night Bus,0
2007,Crystal Simorgh Awards,Best Filmmaker,Mohammad-Mehdi Asgarpour,Eghlima,0
2007,Crystal Simorgh Awards,Best Director,Bahram Tavakoli,Barefoot in Paradise,0
2008,Crystal Simorgh Awards,Best Filmmaker,Majid Majidi,The Song of Sparrows,1
2008,Crystal Simorgh Awards,Best Filmmaker,Khosrow Ma'sumi,Wind Blows in the Meadow,0
2008,Crystal Simorgh Awards,Best Helmer,Reza Mirkarimi,As Simple as That ‡,0
2008,Crystal Simorgh Awards,Best Helmer,Mohammad-Ali Talebi,The Wall,0
2009,Crystal Simorgh Awards,Best Helmer,Asghar Farhadi,About Elly,1
2009,Crystal Simorgh Awards,Best Director,Abdolreza Kahani,Twenty,0
2009,Crystal Simorgh Awards,Best Filmmaker,Hassan Fathi,The Postman Doesn't Knock 3 Times,0
2009,Crystal Simorgh Awards,Best Director,Varuzh Karim-Masihi,Doubt ‡,0
2009,Crystal Simorgh Awards,Best Director,Tahmineh Milani,Superstar,0
2009,Crystal Simorgh Awards,Best Director,Bahram Beyzai,When We're All Asleep,0
