year,ceremony,category,nominee,film,won
1996,Cóndor de Plata,Best Filmmaker,Marcelo Piñeyro,Caballos salvajes,0
1996,Cóndor de Plata,Best Helmer,Nicolás Sarquís,"Facundo, la sombra del tigre",0
1997,Cóndor de Plata,Best Helmer,Eduardo Mignogna,Sol de otoño,1
1997,Cóndor de Plata,Best Filmmaker,Eliseo Subiela,Despabílate amor,0
1997,Cóndor de Plata,Best Helmer,Juan Carlos Desanzo,Eva Perón,0
1998,Cóndor de Plata,Best Director,Adolfo Aristarain,Martín (Hache),1
1998,Cóndor de Plata,Best Filmmaker,Alejandro Agresti,Buenos Aires viceversa,0
1998,Cóndor de Plata,Best Director,Marcelo Piñeyro,Cenizas del paraíso,0
1999,Cóndor de Plata,Best Filmmaker,Eduardo Mignogna,El faro,1
1999,Cóndor de Plata,Best Director,Bruno Stagnaro y Adrián Caetano,"Pizza, birra, faso",0
1999,Cóndor de Plata,Best Director,Carlos Saura,"Tango, no me dejes nunca",0
1999,Cóndor de Plata,Best Director,Fernando Solanas,La nube,0
2000,Cóndor de Plata,Best Filmmaker,Juan José Campanella,"El mismo amor, la misma lluvia",1
2000,Cóndor de Plata,Best Director,Marco Bechis,Garage Olimpo,1
2000,Cóndor de Plata,Best Filmmaker,Pablo Trapero,Mundo grúa,0
2001,Cóndor de Plata,Best Filmmaker,Fabián Bielinsky,Nueve reinas,1
2001,Cóndor de Plata,Best Filmmaker,Alberto Lecchi,Nueces para el amor,0
2001,Cóndor de Plata,Best Director,Daniel Burman,Esperando al Mesías,0
2001,Cóndor de Plata,Best Filmmaker,Lucho Bender,Felicidades,0
2001,Cóndor de Plata,Best Helmer,Marcelo Piñeyro,Plata quemada,0
2002,Cóndor de Plata,Best Filmmaker,Juan José Campanella,El hijo de la novia,1
2002,Cóndor de Plata,Best Director,Eduardo Mignogna,La fuga,0
2002,Cóndor de Plata,Best Helmer,Eliseo Subiela,El lado oscuro del corazón 2,0
2002,Cóndor de Plata,Best Helmer,Juan Carlos Desanzo,El amor y el espanto,0
2002,Cóndor de Plata,Best Helmer,Lucrecia Martel,La Ciénaga,0
2003,Cóndor de Plata,Best Filmmaker,Carlos Sorín,Historias mínimas,1
2003,Cóndor de Plata,Best Helmer,Adolfo Aristarain,Lugares comunes,0
2003,Cóndor de Plata,Best Filmmaker,Adrián Caetano,Un oso rojo,0
2003,Cóndor de Plata,Best Director,Paula Hernández,Herencia,0
2003,Cóndor de Plata,Best Helmer,Pablo Trapero,El bonaerense,0
2004,Cóndor de Plata,Best Helmer,Alejandro Agresti,Valentín,1
2004,Cóndor de Plata,Best Director,Damián Szifron,El fondo del mar,0
2004,Cóndor de Plata,Best Helmer,Juan Carlos Desanzo,El Polaquito,0
2004,Cóndor de Plata,Best Filmmaker,Eduardo Mignogna,Cleopatra,0
2004,Cóndor de Plata,Best Director,Luis César D'Angiolillo,Potestad,0
2005,Cóndor de Plata,Best Director,Adolfo Aristarain,Roma,1
2005,Cóndor de Plata,Best Filmmaker,Carlos Sorín,Bombón: El Perro,0
2005,Cóndor de Plata,Best Helmer,Daniel Burman,El abrazo partido,0
2005,Cóndor de Plata,Best Helmer,Juan José Campanella,Luna de Avellaneda,0
2005,Cóndor de Plata,Best Helmer,Walter Salles,Diarios de motocicleta,0
2006,Cóndor de Plata,Best Filmmaker,Fabián Bielinsky,El aura,1
2006,Cóndor de Plata,Best Helmer,Damián Szifron,Tiempo de valientes,0
2006,Cóndor de Plata,Best Helmer,Jorge Gaggero,Cama adentro,0
2006,Cóndor de Plata,Best Filmmaker,Inés de Oliveira Cézar,Cómo pasan las horas,0
2006,Cóndor de Plata,Best Director,Tristán Bauer,Iluminados por el fuego,0
2007,Cóndor de Plata,Best Helmer,Daniel Burman,Derecho de familia,1
2007,Cóndor de Plata,Best Filmmaker,Adrián Caetano,Crónica de una fuga,0
2007,Cóndor de Plata,Best Filmmaker,Alejandro Doria,Las Manos,0
2007,Cóndor de Plata,Best Helmer,Marcelo Piñeyro,El Método,0
2007,Cóndor de Plata,Best Filmmaker,Pablo Trapero,Nacido y criado,0
2007,Cóndor de Plata,Best Helmer,Rodrigo Moreno,El custodio,0
2008,Cóndor de Plata,Best Director,Esteban Sapir,La antena,1
2008,Cóndor de Plata,Best Helmer,Ariel Rotter,El otro,0
2008,Cóndor de Plata,Best Director,Lorena Muñoz,Los próximos pasados,0
2008,Cóndor de Plata,Best Director,Lucía Puenzo,XXY,0
2008,Cóndor de Plata,Best Helmer,Ricardo Darín y Martín Hodara,La señal,0
2009,Cóndor de Plata,Best Director,Leonardo Favio,Aniceto,1
2009,Cóndor de Plata,Best Director,Daniel Burman,El nido vacío,0
2009,Cóndor de Plata,Best Filmmaker,Lucrecia Martel,La mujer sin cabeza,0
2009,Cóndor de Plata,Best Director,María Victoria Menis,La cámara oscura,0
2009,Cóndor de Plata,Best Filmmaker,Pablo Trapero,Leonera,0
2010,Cóndor de Plata,Best Filmmaker,Juan José Campanella,El secreto de sus ojos,1
2010,Cóndor de Plata,Best Director,Celina Murga,Una semana solos,0
2010,Cóndor de Plata,Best Director,Marcelo Piñeyro,Las viudas de los jueves,0
2010,Cóndor de Plata,Best Director,Mariano Cohn y Gastón Duprat,El artista,0
2010,Cóndor de Plata,Best Filmmaker,Pablo Fendrik,La sangre brota,0
2011,Cóndor de Plata,Best Director,Pablo Trapero,Carancho,1
2011,Cóndor de Plata,Best Filmmaker,Anahí Berneri,Por tu culpa,0
2011,Cóndor de Plata,Best Director,Diego Lerman,La mirada invisible,0
2011,Cóndor de Plata,Best Filmmaker,Mariano Cohn y Gastón Duprat,El hombre de al lado,0
2011,Cóndor de Plata,Best Helmer,Natalia Smirnoff,Rompecabezas,0
2012,Cóndor de Plata,Best Director,Carlos Sorín,El gato desaparece,1
2012,Cóndor de Plata,Best Helmer,Fernando Spiner,"Aballay, el hombre sin miedo",0
2012,Cóndor de Plata,Best Filmmaker,Pablo Giorgelli,Las Acacias,0
2012,Cóndor de Plata,Best Filmmaker,Santiago Mitre,El estudiante,0
2012,Cóndor de Plata,Best Filmmaker,Sebastián Borensztein,Un cuento chino,0
2013,Cóndor de Plata,Best Filmmaker,Benjamín Ávila,Infancia clandestina,1
2013,Cóndor de Plata,Best Helmer,Armando Bo,El último Elvis,0
2013,Cóndor de Plata,Best Filmmaker,Carlos Sorín,Días de pesca,0
2013,Cóndor de Plata,Best Filmmaker,Jeanine Meerapfel,El amigo alemán,0
2013,Cóndor de Plata,Best Helmer,Pablo Trapero,Elefante blanco,0
2014,Cóndor de Plata,Best Filmmaker,Lucía Puenzo,Wakolda,1
2014,Cóndor de Plata,Best Filmmaker,Hernán Goldfrid,Tesis sobre un homicidio,0
2014,Cóndor de Plata,Best Helmer,Juan Taratuto,La reconstrucción,0
2014,Cóndor de Plata,Best Helmer,Juan José Campanella,Metegol,0
2014,Cóndor de Plata,Best Director,Marcos Carnevale,Corazón de León,0
2015,Cóndor de Plata,Best Director,Damián Szifron,Relatos salvajes,1
2015,Cóndor de Plata,Best Helmer,Celina Murga,La tercera orilla,0
2015,Cóndor de Plata,Best Filmmaker,Diego Lerman,Refugiado,0
2015,Cóndor de Plata,Best Filmmaker,Lisandro Alonso,Jauja,0
2015,Cóndor de Plata,Best Filmmaker,Santiago Loza,La Paz,0
2016,Cóndor de Plata,Best Helmer,Pablo Agüero,Eva no duerme,1
2016,Cóndor de Plata,Best Helmer,Ana Katz,Mi amiga del parque,0
2016,Cóndor de Plata,Best Filmmaker,Pablo Trapero,El clan,0
2016,Cóndor de Plata,Best Helmer,Santiago Mitre,La patota,0
2016,Cóndor de Plata,Best Director,Sebastián Schindel,El patrón: radiografía de un crimen,0
2017,Cóndor de Plata,Best Director,Lorena Muñoz,"Gilda, no me arrepiento de este amor",1
2017,Cóndor de Plata,Best Filmmaker,Ariel Rotter,La luz incidente,0
2017,Cóndor de Plata,Best Helmer,Francisco Márquez y Andrea Testa,La larga noche de Francisco Sanctis,0
2017,Cóndor de Plata,Best Helmer,Luis Ortega,Lulú,0
2017,Cóndor de Plata,Best Director,Mariano Cohn y Gastón Duprat,El ciudadano ilustre,0
2018,Cóndor de Plata,Best Director,Lucrecia Martel,Zama,1
2018,Cóndor de Plata,Best Filmmaker,Anahí Berneri,Alanis,0
2018,Cóndor de Plata,Best Helmer,Israel Adrián Caetano,El otro hermano,0
2018,Cóndor de Plata,Best Helmer,Diego Lerman,Una especie de familia,0
2018,Cóndor de Plata,Best Helmer,Julia Solomonoff,Nadie nos mira,0
