year,ceremony,category,nominee,film,country,winner,source_url
1980,Berlin IFF 1980,Golden Bear,,Palermo oder Wolfsburg,,1,https://en.wikipedia.org/wiki/Golden_Bear
1980,Berlin IFF 1980,Silver Bear Best Actor,Andrzej Seweryn,The Orchestra Conductor,,1,https://en.wikipedia.org/wiki/Silver_Bear_for_Best_Actor
1980,Berlin IFF 1980,Silver Bear Best Actress,Renate Krößner,Solo Sunny,,1,https://en.wikipedia.org/wiki/Silver_Bear_for_Best_Actress
1980,Berlin IFF 1980,Silver Bear Best Director,István Szabó,Bizalom,,1,https://en.wikipedia.org/wiki/Silver_Bear_for_Best_Director
1980,Berlin IFF 1980,Silver Bear Grand Jury Prize,Marco Ferreri,Seeking Asylum,,1,https://en.wikipedia.org/wiki/Silver_Bear_Grand_Jury_Prize
1981,Berlin IFF 1981,Golden Bear,,"Deprisa, deprisa",,1,https://en.wikipedia.org/wiki/Golden_Bear
1981,Berlin IFF 1981,Silver Bear Best Actor,Fyodor Mikhailovich Dostoyevsky,Twenty Six Days from the Life of Dostoyevsky,,1,https://en.wikipedia.org/wiki/Silver_Bear_for_Best_Actor
1981,Berlin IFF 1981,Silver Bear Best Actor,Jack Lemmon,Tribute,,1,https://en.wikipedia.org/wiki/Silver_Bear_for_Best_Actor
1981,Berlin IFF 1981,Silver Bear Best Actress,Barbara Grabowska,Fever,,1,https://en.wikipedia.org/wiki/Silver_Bear_for_Best_Actress
1981,Berlin IFF 1981,Silver Bear Grand Jury Prize,Mrinal Sen,Akaler Shandhaney,,1,https://en.wikipedia.org/wiki/Silver_Bear_Grand_Jury_Prize
1982,Berlin IFF 1982,Golden Bear,,Veronika Voss,,1,https://en.wikipedia.org/wiki/Golden_Bear
1982,Berlin IFF 1982,Silver Bear Best Actor,Michel Piccoli,Strange Affair,,1,https://en.wikipedia.org/wiki/Silver_Bear_for_Best_Actor
1982,Berlin IFF 1982,Silver Bear Best Actor,Sven,The Simple-Minded Murderer,,1,https://en.wikipedia.org/wiki/Silver_Bear_for_Best_Actor
1982,Berlin IFF 1982,Silver Bear Best Actress,Katrin Sass,Bürgschaft für ein Jahr,,1,https://en.wikipedia.org/wiki/Silver_Bear_for_Best_Actress
1982,Berlin IFF 1982,Silver Bear Best Director,Mario Monicelli,Il Marchese del Grillo,,1,https://en.wikipedia.org/wiki/Silver_Bear_for_Best_Director
1982,Berlin IFF 1982,Silver Bear Grand Jury Prize,Wojciech Marczewski,Shivers,,1,https://en.wikipedia.org/wiki/Silver_Bear_Grand_Jury_Prize
1983,Berlin IFF 1983,Golden Bear,,Ascendancy,,1,https://en.wikipedia.org/wiki/Golden_Bear
1983,Berlin IFF 1983,Golden Bear,,Mario Camus,,1,https://en.wikipedia.org/wiki/Golden_Bear
1983,Berlin IFF 1983,Silver Bear Best Actor,Bruce Dern,That Championship Season,,1,https://en.wikipedia.org/wiki/Silver_Bear_for_Best_Actor
1983,Berlin IFF 1983,Silver Bear Best Actress,Yevgeniya Glushenko,Love by Request,,1,https://en.wikipedia.org/wiki/Silver_Bear_for_Best_Actress
1983,Berlin IFF 1983,Silver Bear Best Director,Éric Rohmer,Pauline at the Beach,,1,https://en.wikipedia.org/wiki/Silver_Bear_for_Best_Director
1983,Berlin IFF 1983,Silver Bear Grand Jury Prize,Erden Kıral,A Season in Hakkari,,1,https://en.wikipedia.org/wiki/Silver_Bear_Grand_Jury_Prize
1984,Berlin IFF 1984,Golden Bear,,Love Streams,,1,https://en.wikipedia.org/wiki/Golden_Bear
1984,Berlin IFF 1984,Silver Bear Best Actor,Albert Finney,The Dresser,,1,https://en.wikipedia.org/wiki/Silver_Bear_for_Best_Actor
1984,Berlin IFF 1984,Silver Bear Best Actress,Inna Churikova,Wartime Romance,,1,https://en.wikipedia.org/wiki/Silver_Bear_for_Best_Actress
1984,Berlin IFF 1984,Silver Bear Best Director,Costas Ferris,Rembetiko,,1,https://en.wikipedia.org/wiki/Silver_Bear_for_Best_Director
1984,Berlin IFF 1984,Silver Bear Best Director,Le Bal,Ballando ballando,,1,https://en.wikipedia.org/wiki/Silver_Bear_for_Best_Director
1984,Berlin IFF 1984,Silver Bear Grand Jury Prize,Héctor Olivera,Funny Dirty Little War,,1,https://en.wikipedia.org/wiki/Silver_Bear_Grand_Jury_Prize
1985,Berlin IFF 1985,Golden Bear,,Wetherby,,1,https://en.wikipedia.org/wiki/Golden_Bear
1985,Berlin IFF 1985,Golden Bear,,Die Frau und der Fremde,,1,https://en.wikipedia.org/wiki/Golden_Bear
1985,Berlin IFF 1985,Silver Bear Best Actor,Fernando Fernán Gómez,Stico,,1,https://en.wikipedia.org/wiki/Silver_Bear_for_Best_Actor
