year_film,year_ceremony,ceremony,category,canon_category,name,film,winner
2004,2005,51,Best Actor,ACTOR IN A LEADING ROLE,Ajay Devgan,Amit Kumar,False
2004,2005,51,Best Actor,ACTOR IN A LEADING ROLE,Amitabh Bachchan,Raj Malhotra,False
2004,2005,51,Best Actor,ACTOR IN A LEADING ROLE,Akshay Kumar,Raj Malhotra,False
2004,2005,51,Best Actor,ACTOR IN A LEADING ROLE,Salman Khan,Radhe Mohan,False
2004,2005,51,Best Actor,ACTOR IN A LEADING ROLE,Shah Rukh Khan,Aman Mathur,False
2005,2006,52,Best Actor,ACTOR IN A LEADING ROLE,,Shah Rukh Khan ‡,False
2005,2006,52,Best Actor,ACTOR IN A LEADING ROLE,Amitabh Bachchan,DCP Anant Kumar Shrivastav,False
2005,2006,52,Best Actor,ACTOR IN A LEADING ROLE,Hrithik Roshan,Karan Shergill,False
2005,2006,52,Best Actor,ACTOR IN A LEADING ROLE,Saif Ali Khan,Karan Kapoor,False
2005,2006,52,Best Actor,ACTOR IN A LEADING ROLE,Shah Rukh Khan,Major Ram Prasad Sharma,False
2005,2006,52,Best Actor,ACTOR IN A LEADING ROLE,Squadron Leader Veer Pratap Singh,Veer-Zaara,False
2006,2007,53,Best Actor,ACTOR IN A LEADING ROLE,,Amitabh Bachchan ‡,False
2006,2007,53,Best Actor,ACTOR IN A LEADING ROLE,Aamir Khan,Mangal Pandey,False
2006,2007,53,Best Actor,ACTOR IN A LEADING ROLE,Amitabh Bachchan,Subhash Nagre a.k.a. Sarkar,False
2006,2007,53,Best Actor,ACTOR IN A LEADING ROLE,Abhishek Bachchan,Rakesh Trivedi alias Bunty,False
2006,2007,53,Best Actor,ACTOR IN A LEADING ROLE,Saif Ali Khan,Shekhar Roy,False
2007,2008,54,Best Actor,ACTOR IN A LEADING ROLE,,Hrithik Roshan ‡,False
2007,2008,54,Best Actor,ACTOR IN A LEADING ROLE,Aamir Khan,"Daljeet ""DJ"" Singh / Chandra Shekhar Azad",False
2007,2008,54,Best Actor,ACTOR IN A LEADING ROLE,Hrithik Roshan,"Krishna ""Krrish"" Mehra",False
2007,2008,54,Best Actor,ACTOR IN A LEADING ROLE,Sanjay Dutt,Munna Bhai / Murali Prasad Sharma,False
2007,2008,54,Best Actor,ACTOR IN A LEADING ROLE,Shah Rukh Khan,Don / Vijay,False
2007,2008,54,Best Actor,ACTOR IN A LEADING ROLE,Dev Saran,Kabhi Alvida Naa Kehna,False
2008,2009,55,Best Actor,ACTOR IN A LEADING ROLE,,Shah Rukh Khan ‡,False
2008,2009,55,Best Actor,ACTOR IN A LEADING ROLE,Abhishek Bachchan,"Gurukant ""Guru"" Desai",False
2008,2009,55,Best Actor,ACTOR IN A LEADING ROLE,Akshay Kumar,Arjun Singh,False
2008,2009,55,Best Actor,ACTOR IN A LEADING ROLE,Darsheel Safary,Ishaan Awasthi,False
2008,2009,55,Best Actor,ACTOR IN A LEADING ROLE,Shahid Kapoor,Aditya Kashyap,False
2008,2009,55,Best Actor,ACTOR IN A LEADING ROLE,Shah Rukh Khan,Om Prakash Makhija / Om Kapoor,False
2009,2010,56,Best Actor,ACTOR IN A LEADING ROLE,,Hrithik Roshan ‡,False
2009,2010,56,Best Actor,ACTOR IN A LEADING ROLE,Aamir Khan,Sanjay Singhania,False
2009,2010,56,Best Actor,ACTOR IN A LEADING ROLE,Abhishek Bachchan,"Sameer ""Sam"" Kapoor",False
2009,2010,56,Best Actor,ACTOR IN A LEADING ROLE,Akshay Kumar,Happy Singh,False
2009,2010,56,Best Actor,ACTOR IN A LEADING ROLE,Naseeruddin Shah,The Common Man,False
2009,2010,56,Best Actor,ACTOR IN A LEADING ROLE,Shah Rukh Khan,"Surinder ""Suri"" Sahni",False
2010,2011,57,Best Actor,ACTOR IN A LEADING ROLE,,Amitabh Bachchan ‡,False
2010,2011,57,Best Actor,ACTOR IN A LEADING ROLE,Aamir Khan,"Ranchoddas ""Rancho"" Shamaldas Chanchad / Chhote / Phunsukh Wangdu",False
2010,2011,57,Best Actor,ACTOR IN A LEADING ROLE,Ranbir Kapoor,Prem Shankar Sharma,False
