year_film,year_ceremony,ceremony,category,canon_category,name,film,winner
2018,2019,21,"Best Actor Male","ACTOR IN A LEADING ROLE","Ayushmann Khurrana ‡","Shubh Mangal Saavdhan",False
2018,2019,21,"Best Actor Male","ACTOR IN A LEADING ROLE","Hrithik Roshan ‡",Kaabil,False
2018,2019,21,"Best Actor Male","ACTOR IN A LEADING ROLE","Shah Rukh Khan ‡",Raees,False
2018,2019,21,"Best Actor Male","ACTOR IN A LEADING ROLE","Varun Dhawan","Judwaa 2",False
2019,2020,22,"Best Actor Male","ACTOR IN A LEADING ROLE","Ranveer Singh ‡",Padmaavat,False
2019,2020,22,"Best Actor Male","ACTOR IN A LEADING ROLE","Ayushmann Khurrana ‡",Andhadhun,False
2019,2020,22,"Best Actor Male","ACTOR IN A LEADING ROLE","Kartik Aaryan","Sonu Ke Titu Ki Sweety",False
2019,2020,22,"Best Actor Male","ACTOR IN A LEADING ROLE","Ranbir Kapoor †",Sanju,False
2019,2020,22,"Best Actor Male","ACTOR IN A LEADING ROLE","Ranveer Singh",Simmba,False
2019,2020,22,"Best Actor Male","ACTOR IN A LEADING ROLE","Varun Dhawan","Sui Dhaaga",False
2020,2021,23,"Best Actor Male","ACTOR IN A LEADING ROLE","Ranveer Singh †","Gully Boy",False
2020,2021,23,"Best Actor Male","ACTOR IN A LEADING ROLE","Akshay Kumar","Good Newwz",False
2020,2021,23,"Best Actor Male","ACTOR IN A LEADING ROLE","Ayushmann Khurrana ‡","Dream Girl",False
2020,2021,23,"Best Actor Male","ACTOR IN A LEADING ROLE","Hrithik Roshan",War,False
2020,2021,23,"Best Actor Male","ACTOR IN A LEADING ROLE","Kartik Aaryan","Luka Chuppi",False
2020,2021,23,"Best Actor Male","ACTOR IN A LEADING ROLE","Shahid Kapoor","Kabir Singh",False
2021,2022,24,"Best Actor Male","ACTOR IN A LEADING ROLE","No award Due to COVID-19",--,False
2022,2023,25,"Best Actor Male","ACTOR IN A LEADING ROLE","No award Due to COVID-19",--,False
2023,2024,26,"Best Actor Male","ACTOR IN A LEADING ROLE","Anupam Kher †","The Kashmir Files",False
2023,2024,26,"Best Actor Male","ACTOR IN A LEADING ROLE","Ajay Devgn","Drishyam 2",False
2023,2024,26,"Best Actor Male","ACTOR IN A LEADING ROLE","Hrithik Roshan","Vikram Vedha",False
2023,2024,26,"Best Actor Male","ACTOR IN A LEADING ROLE","Kartik Aaryan","Bhool Bhulaiyaa 2",False
