year,ceremony,category,nominee,film,country,winner,source_url
2012,BIFA 2012,Best Supporting Actor,The Best Exotic Marigold Hotel,Graham Dashwood,,0,https://en.wikipedia.org/wiki/BIFA_Award_for_Best_Supporting_Actor
2012,BIFA 2012,Best Supporting Actress,Olivia Colman,Hyde Park on Hudson,,1,https://en.wikipedia.org/wiki/BIFA_Award_for_Best_Supporting_Actress
2012,BIFA 2012,Best Supporting Actress,Ginger and Rosa,Rosa,,0,https://en.wikipedia.org/wiki/BIFA_Award_for_Best_Supporting_Actress
2012,BIFA 2012,Best Supporting Actress,Sightseers,Carol,,0,https://en.wikipedia.org/wiki/BIFA_Award_for_Best_Supporting_Actress
2012,BIFA 2012,Best Supporting Actress,Song for Marion,Marion,,0,https://en.wikipedia.org/wiki/BIFA_Award_for_Best_Supporting_Actress
2012,BIFA 2012,Best Supporting Actress,The Best Exotic Marigold Hotel,Muriel Donnelly,,0,https://en.wikipedia.org/wiki/BIFA_Award_for_Best_Supporting_Actress
2013,BIFA 2013,Best Actor,James McAvoy,Filth,,1,https://en.wikipedia.org/wiki/BIFA_Award_for_Best_Performance_by_an_Actor_in_a_British_Independent_Film
2013,BIFA 2013,Best Actor,Le Week-End,Nick Burrows,,0,https://en.wikipedia.org/wiki/BIFA_Award_for_Best_Performance_by_an_Actor_in_a_British_Independent_Film
2013,BIFA 2013,Best Actor,Locke,Ivan Locke,,0,https://en.wikipedia.org/wiki/BIFA_Award_for_Best_Performance_by_an_Actor_in_a_British_Independent_Film
2013,BIFA 2013,Best Actor,Philomena,Martin Sixsmith,,0,https://en.wikipedia.org/wiki/BIFA_Award_for_Best_Performance_by_an_Actor_in_a_British_Independent_Film
2013,BIFA 2013,Best Actor,Starred Up,Eric Love,,0,https://en.wikipedia.org/wiki/BIFA_Award_for_Best_Performance_by_an_Actor_in_a_British_Independent_Film
2013,BIFA 2013,Best Actress,Lindsay Duncan,Le Week-End,,1,https://en.wikipedia.org/wiki/BIFA_Award_for_Best_Performance_by_an_Actress_in_a_British_Independent_Film
2013,BIFA 2013,Best Actress,How I Live Now,Daisy,,0,https://en.wikipedia.org/wiki/BIFA_Award_for_Best_Performance_by_an_Actress_in_a_British_Independent_Film
2013,BIFA 2013,Best Actress,Philomena,Philomena Lee,,0,https://en.wikipedia.org/wiki/BIFA_Award_for_Best_Performance_by_an_Actress_in_a_British_Independent_Film
2013,BIFA 2013,Best Actress,The Invisible Woman,Nelly Ternan,,0,https://en.wikipedia.org/wiki/BIFA_Award_for_Best_Performance_by_an_Actress_in_a_British_Independent_Film
2013,BIFA 2013,Best Actress,Under the Skin,The Alien,,0,https://en.wikipedia.org/wiki/BIFA_Award_for_Best_Performance_by_an_Actress_in_a_British_Independent_Film
2013,BIFA 2013,Best British Independent Film,,Metro Manila,,1,https://en.wikipedia.org/wiki/BIFA_Award_for_Best_British_Independent_Film
2013,BIFA 2013,Best British Independent Film,,Stephen Frears,,0,https://en.wikipedia.org/wiki/BIFA_Award_for_Best_British_Independent_Film
2013,BIFA 2013,Best British Independent Film,,Clio Barnard,,0,https://en.wikipedia.org/wiki/BIFA_Award_for_Best_British_Independent_Film
2013,BIFA 2013,Best British Independent Film,,David Mackenzie,,0,https://en.wikipedia.org/wiki/BIFA_Award_for_Best_British_Independent_Film
2013,BIFA 2013,Best British Independent Film,,Roger Michell,,0,https://en.wikipedia.org/wiki/BIFA_Award_for_Best_British_Independent_Film
2013,BIFA 2013,Best Supporting Actor,Ben Mendelsohn,Starred Up,,1,https://en.wikipedia.org/wiki/BIFA_Award_for_Best_Supporting_Actor
2013,BIFA 2013,Best Supporting Actor,Filth,Clifford Blades,,0,https://en.wikipedia.org/wiki/BIFA_Award_for_Best_Supporting_Actor
2013,BIFA 2013,Best Supporting Actor,Le Week-End,Morgan,,0,https://en.wikipedia.org/wiki/BIFA_Award_for_Best_Supporting_Actor
