year,ceremony,category,nominee,film,country,winner,source_url
1986,Venice Film Festival 1986,Silver Lion,,A King and His Movie,,1,https://en.wikipedia.org/wiki/Silver_Lion
1986,Venice Film Festival 1986,Volpi Cup for Best Actor,Carlo Delle Piane,Christmas Present,,1,https://en.wikipedia.org/wiki/Volpi_Cup_for_Best_Actor
1986,Venice Film Festival 1986,Volpi Cup for Best Actress,Barbara Sukowa,Rosa Luxemburg,,1,https://en.wikipedia.org/wiki/Volpi_Cup_for_Best_Actress
1986,Venice Film Festival 1986,Volpi Cup for Best Actress,Valeria Golino,Bruna Assecondati,,1,https://en.wikipedia.org/wiki/Volpi_Cup_for_Best_Actress
1987,Venice Film Festival 1987,Golden Lion,,Au revoir les enfants,,1,https://en.wikipedia.org/wiki/Golden_Lion
1987,Venice Film Festival 1987,Golden Lion,Luigi Comencini and Joseph L. Mankiewicz,Luigi Comencini and Joseph L. Mankiewicz,,1,https://en.wikipedia.org/wiki/Golden_Lion
1987,Venice Film Festival 1987,Silver Lion,,Maurice,,1,https://en.wikipedia.org/wiki/Silver_Lion
1987,Venice Film Festival 1987,Silver Lion,,Lunga vita alla signora!,,1,https://en.wikipedia.org/wiki/Silver_Lion
1987,Venice Film Festival 1987,Volpi Cup for Best Actor,Dark Eyes,Dark Eyes,,1,https://en.wikipedia.org/wiki/Volpi_Cup_for_Best_Actor
1987,Venice Film Festival 1987,Volpi Cup for Best Actor,Hugh Grant,Maurice,,1,https://en.wikipedia.org/wiki/Volpi_Cup_for_Best_Actor
1987,Venice Film Festival 1987,Volpi Cup for Best Actor,Maurice Hall,Maurice Hall,,1,https://en.wikipedia.org/wiki/Volpi_Cup_for_Best_Actor
1987,Venice Film Festival 1987,Volpi Cup for Best Actress,Kang Soo-yeon,Ok-nyo,,1,https://en.wikipedia.org/wiki/Volpi_Cup_for_Best_Actress
1988,Venice Film Festival 1988,Golden Lion,,The Legend of the Holy Drinker,,1,https://en.wikipedia.org/wiki/Golden_Lion
1988,Venice Film Festival 1988,Golden Lion,Joris Ivens,Joris Ivens,,1,https://en.wikipedia.org/wiki/Golden_Lion
1988,Venice Film Festival 1988,Silver Lion,,Landscape in the Mist,,1,https://en.wikipedia.org/wiki/Silver_Lion
1988,Venice Film Festival 1988,Volpi Cup for Best Actor,Don Ameche,Things Change,,1,https://en.wikipedia.org/wiki/Volpi_Cup_for_Best_Actor
1988,Venice Film Festival 1988,Volpi Cup for Best Actor,Jerry,Jerry,,1,https://en.wikipedia.org/wiki/Volpi_Cup_for_Best_Actor
1988,Venice Film Festival 1988,Volpi Cup for Best Actress,Isabelle Huppert,Marie Latour,,1,https://en.wikipedia.org/wiki/Volpi_Cup_for_Best_Actress
1988,Venice Film Festival 1988,Volpi Cup for Best Actress,Madame Sousatzka,Madame Sousatzka,,1,https://en.wikipedia.org/wiki/Volpi_Cup_for_Best_Actress
1989,Venice Film Festival 1989,Golden Lion,,A City of Sadness,,1,https://en.wikipedia.org/wiki/Golden_Lion
1989,Venice Film Festival 1989,Golden Lion,Robert Bresson,Robert Bresson,,1,https://en.wikipedia.org/wiki/Golden_Lion
1989,Venice Film Festival 1989,Silver Lion,,Death of a Tea Master,,1,https://en.wikipedia.org/wiki/Silver_Lion
1989,Venice Film Festival 1989,Silver Lion,,Recordações da Casa Amarela,,1,https://en.wikipedia.org/wiki/Silver_Lion
1989,Venice Film Festival 1989,Volpi Cup for Best Actor,Marcello Mastroianni,What Time Is It?,,1,https://en.wikipedia.org/wiki/Volpi_Cup_for_Best_Actor
1989,Venice Film Festival 1989,Volpi Cup for Best Actor,Michele,Michele,,1,https://en.wikipedia.org/wiki/Volpi_Cup_for_Best_Actor
1989,Venice Film Festival 1989,Volpi Cup for Best Actress,Peggy Ashcroft,Lillian Huckle,,1,https://en.wikipedia.org/wiki/Volpi_Cup_for_Best_Actress
1990,Venice Film Festival 1990,Golden Lion,,Rosencrantz & Guildenstern Are Dead,,1,https://en.wikipedia.org/wiki/Golden_Lion
1990,Venice Film Festival 1990,Golden Lion,Marcello Mastroianni and Miklós Jancsó,Marcello Mastroianni and Miklós Jancsó,,1,https://en.wikipedia.org/wiki/Golden_Lion
1990,Venice Film Festival 1990,Silver Lion,,Sirup,,1,https://en.wikipedia.org/wiki/Silver_Lion
1990,Venice Film Festival 1990,Silver Lion,Martin Scorsese,Goodfellas,,1,https://en.wikipedia.org/wiki/Silver_Lion
1990,Venice Film Festival 1990,Volpi Cup for Best Actor,Gérard Depardieu,Cyrano de Bergerac,,1,https://en.wikipedia.org/wiki/Volpi_Cup_for_Best_Actor
