year,ceremony,category,nominee,film,winner,source_url
2013,1st Africa Magic Viewers' Choice Awards,Best Television Series,The XYZ Show,The XYZ Show,1,https://en.wikipedia.org/wiki/2013_Africa_Magic_Viewers%27_Choice_Awards
2013,1st Africa Magic Viewers' Choice Awards,Best Television Series,DemiGods,DemiGods,0,https://en.wikipedia.org/wiki/2013_Africa_Magic_Viewers%27_Choice_Awards
2013,1st Africa Magic Viewers' Choice Awards,Best Television Series,Jozi Moving the City,Jozi Moving the City,0,https://en.wikipedia.org/wiki/2013_Africa_Magic_Viewers%27_Choice_Awards
2013,1st Africa Magic Viewers' Choice Awards,Best Television Series,Makutano Junction,Makutano Junction,0,https://en.wikipedia.org/wiki/2013_Africa_Magic_Viewers%27_Choice_Awards
2013,1st Africa Magic Viewers' Choice Awards,Best Television Series,Peep,Peep,0,https://en.wikipedia.org/wiki/2013_Africa_Magic_Viewers%27_Choice_Awards
2013,1st Africa Magic Viewers' Choice Awards,Best Writer (comedy),Tim Greene,Skeem,1,https://en.wikipedia.org/wiki/2013_Africa_Magic_Viewers%27_Choice_Awards
2013,1st Africa Magic Viewers' Choice Awards,Best Writer (comedy),Bovi,The Bovi Ugboma Show,0,https://en.wikipedia.org/wiki/2013_Africa_Magic_Viewers%27_Choice_Awards
2013,1st Africa Magic Viewers' Choice Awards,Best Writer (comedy),Paul Igwe,Clinic Matters,0,https://en.wikipedia.org/wiki/2013_Africa_Magic_Viewers%27_Choice_Awards
2013,1st Africa Magic Viewers' Choice Awards,Best Writer (comedy),Shirley Frimpong-Manso,Perfect Picture,0,https://en.wikipedia.org/wiki/2013_Africa_Magic_Viewers%27_Choice_Awards
2013,1st Africa Magic Viewers' Choice Awards,Best Writer (comedy),Teru Ekuerhale,Wanna Be,0,https://en.wikipedia.org/wiki/2013_Africa_Magic_Viewers%27_Choice_Awards
2013,1st Africa Magic Viewers' Choice Awards,Best Writer (drama) Obi Emelonye / Amaka Obi-Emelonye –,Obi Emelonye /Amaka Obi-Emelonye,The Mirror Boy,1,https://en.wikipedia.org/wiki/2013_Africa_Magic_Viewers%27_Choice_Awards
2013,1st Africa Magic Viewers' Choice Awards,Best Writer (drama) Obi Emelonye / Amaka Obi-Emelonye –,Blessing Egbe,Two Brides and a Baby,0,https://en.wikipedia.org/wiki/2013_Africa_Magic_Viewers%27_Choice_Awards
2013,1st Africa Magic Viewers' Choice Awards,Best Writer (drama) Obi Emelonye / Amaka Obi-Emelonye –,James Whyle /Sara Blecher /The Cast Workshop,Otelo Burning,0,https://en.wikipedia.org/wiki/2013_Africa_Magic_Viewers%27_Choice_Awards
2013,1st Africa Magic Viewers' Choice Awards,Best Writer (drama) Obi Emelonye / Amaka Obi-Emelonye –,Shirley Frimpong-Manso,A Sting in a Tale,0,https://en.wikipedia.org/wiki/2013_Africa_Magic_Viewers%27_Choice_Awards
2013,1st Africa Magic Viewers' Choice Awards,Best Writer (drama) Obi Emelonye / Amaka Obi-Emelonye –,Shirley Frimpong-Manso,Perfect Picture,0,https://en.wikipedia.org/wiki/2013_Africa_Magic_Viewers%27_Choice_Awards
2013,1st Africa Magic Viewers' Choice Awards,Industry Merit Award,Olu Jacobs,Olu Jacobs,1,https://en.wikipedia.org/wiki/2013_Africa_Magic_Viewers%27_Choice_Awards
2013,1st Africa Magic Viewers' Choice Awards,Trailblazer Award,Ivie Okujaye,Ivie Okujaye,1,https://en.wikipedia.org/wiki/2013_Africa_Magic_Viewers%27_Choice_Awards
2014,2nd Africa Magic Viewers' Choice Awards,Best Actor in a Comedy,Osita Iheme,The Hero,1,https://en.wikipedia.org/wiki/2014_Africa_Magic_Viewers%27_Choice_Awards
2014,2nd Africa Magic Viewers' Choice Awards,Best Actor in a Comedy,Chinedu Ikedieze,The Hero,0,https://en.wikipedia.org/wiki/2014_Africa_Magic_Viewers%27_Choice_Awards
2014,2nd Africa Magic Viewers' Choice Awards,Best Actor in a Comedy,Hlomla Dandala,Contract,0,https://en.wikipedia.org/wiki/2014_Africa_Magic_Viewers%27_Choice_Awards
2014,2nd Africa Magic Viewers' Choice Awards,Best Actor in a Comedy,John Okafor,Return of Sheri Koko,0,https://en.wikipedia.org/wiki/2014_Africa_Magic_Viewers%27_Choice_Awards
2014,2nd Africa Magic Viewers' Choice Awards,Best Actor in a Comedy,Osita Iheme,The Fighter,0,https://en.wikipedia.org/wiki/2014_Africa_Magic_Viewers%27_Choice_Awards
2014,2nd Africa Magic Viewers' Choice Awards,Best Actor in a Drama,Tope Tedela,A Mile from Home,1,https://en.wikipedia.org/wiki/2014_Africa_Magic_Viewers%27_Choice_Awards
2014,2nd Africa Magic Viewers' Choice Awards,Best Actor in a Drama,Hlomla Dandala,Contract,0,https://en.wikipedia.org/wiki/2014_Africa_Magic_Viewers%27_Choice_Awards
2014,2nd Africa Magic Viewers' Choice Awards,Best Actor in a Drama,Juma Rajab Rashid,Siri ya Mtungi,0,https://en.wikipedia.org/wiki/2014_Africa_Magic_Viewers%27_Choice_Awards
